frame,time_s,terrain_mean,splash_pixels,stem_color_pixels,upper_stem_pixels,stem_top_y
191,3.183333,16.437,0,0,0,-1
192,3.2,16.446,0,0,0,-1
193,3.216667,16.448,0,0,0,-1
194,3.233333,16.422,0,0,0,-1
195,3.25,16.441,0,0,0,-1
196,3.266667,16.409,0,0,0,-1
197,3.283333,16.419,0,0,0,-1
198,3.3,16.397,0,0,0,-1
199,3.316667,16.395,0,0,0,-1
200,3.333333,16.388,0,0,0,-1
201,3.35,16.386,62,0,0,-1
202,3.366667,16.364,4,0,0,-1
203,3.383333,16.368,76,0,0,-1
204,3.4,16.369,69,0,0,-1
205,3.416667,16.366,57,0,0,-1
206,3.433333,16.366,146,0,0,-1
207,3.45,16.406,79,0,0,-1
208,3.466667,16.33,101,0,0,-1
209,3.483333,16.345,76,3,3,-1
210,3.5,16.342,94,0,0,-1
211,3.516667,16.4,142,0,0,-1
212,3.533333,16.39,134,0,0,-1
213,3.55,16.466,50,0,0,-1
214,3.566667,16.5,103,0,0,-1
215,3.583333,16.5,185,348,0,648.0
216,3.6,16.51,433,310,0,623.0
217,3.616667,16.519,432,643,0,590.0
218,3.633333,16.477,426,668,0,482.0
219,3.65,16.503,496,735,4,560.0
220,3.666667,16.477,553,814,0,544.0
221,3.683333,16.495,425,924,0,534.0
222,3.7,16.505,423,958,0,528.0
223,3.716667,16.481,394,940,0,522.0
224,3.733333,16.467,369,956,0,516.0
225,3.75,16.466,341,901,1,510.0
226,3.766667,16.483,262,903,0,506.0
227,3.783333,16.504,222,831,0,496.0
228,3.8,16.513,211,831,0,482.0
229,3.816667,16.439,214,787,0,470.0
230,3.833333,16.448,210,901,14,454.0
231,3.85,16.452,204,875,15,454.0
232,3.866667,16.419,188,975,116,388.0
233,3.883333,16.409,165,1030,175,368.0
234,3.9,16.398,178,964,165,370.0
235,3.916667,16.388,173,961,154,370.0
236,3.933333,16.384,145,954,172,372.0
237,3.95,16.392,159,910,160,374.0
238,3.966667,16.398,157,914,173,375.0
239,3.983333,16.392,146,893,172,374.0
240,4.0,16.426,182,933,179,376.0
241,4.016667,16.403,191,980,189,376.0
242,4.033333,16.414,233,828,151,376.0
243,4.05,16.383,192,921,157,377.0
244,4.066667,16.424,183,954,156,376.0
245,4.083333,16.401,193,907,136,374.0
246,4.1,16.434,190,973,179,374.0
247,4.116667,16.43,202,1015,172,372.0
248,4.133333,16.446,204,1032,136,370.0
249,4.15,16.442,364,1084,88,384.0
250,4.166667,16.441,957,908,154,366.0
251,4.183333,16.443,1371,984,133,365.0
252,4.2,16.456,1990,856,105,364.0
253,4.216667,16.45,2789,849,183,364.0
254,4.233333,16.462,3646,701,170,364.0
255,4.25,16.455,4267,548,157,362.0
256,4.266667,16.471,4882,432,154,360.0
257,4.283333,16.481,5134,455,148,360.0
258,4.3,16.475,5599,450,181,360.0
259,4.316667,16.482,5668,417,195,360.0
260,4.333333,16.49,5725,530,219,360.0
261,4.35,16.492,6016,462,189,360.0
262,4.366667,16.493,6191,345,139,360.0
263,4.383333,16.486,6461,446,213,360.0
264,4.4,16.456,6468,349,151,360.0
265,4.416667,16.454,6391,397,139,360.0
266,4.433333,16.442,6593,321,120,360.0
